table_ref,keyspace,table,insert_count,insert_size,insert_wrus,writes_size,WRU per record,Rows per RRU,RRU per 10 rows
AQ4CAS001.TBAQ4007_DECS_KYC_ESGR,AQ4CAS001,TBAQ4007_DECS_KYC_ESGR,100,50984,100,50984,1,8,2
AQ4CAS001.TBAQ4013_PRIA_EVEN_MOVI_FINN,AQ4CAS001,TBAQ4013_PRIA_EVEN_MOVI_FINN,100,25188,100,25188,1,16,1
AQ4CAS001.TBAQ4028_EVEN_MOVI_FINN,AQ4CAS001,TBAQ4028_EVEN_MOVI_FINN,100,40292,100,40292,1,10,1
AQ4CAS001.TBAQ4029_EVEN_MOVI_FINN_DAT,AQ4CAS001,TBAQ4029_EVEN_MOVI_FINN_DAT,100,18900,100,18900,1,22,1
AQ4CAS001.TBAQ4029_EVEN_MOVI_FINN_EXTR,AQ4CAS001,TBAQ4029_EVEN_MOVI_FINN_EXTR,100,18500,100,18500,1,22,1
AQ4CAS001.TBAQ4030_EVEN_MOVI_FINN_IMAR,AQ4CAS001,TBAQ4030_EVEN_MOVI_FINN_IMAR,100,19500,100,19500,1,21,1
AQ4CAS001.TBAQ4031_EVEN_MOVI_FINN_PAR,AQ4CAS001,TBAQ4031_EVEN_MOVI_FINN_PAR,100,19400,100,19400,1,21,1
AQ4CAS001.TBAQ4035_FATM,AQ4CAS001,TBAQ4035_FATM,100,15883,100,15883,1,26,1
AQ4CAS001.TBAQ4036_PATR,AQ4CAS001,TBAQ4036_PATR,100,16278,100,16278,1,25,1
AQ4CAS001.TBAQ4037_REND,AQ4CAS001,TBAQ4037_REND,100,15998,100,15998,1,26,1
AQ4CAS002.TBAQ4001_CADA_ALCA_PFIS_API,AQ4CAS002,TBAQ4001_CADA_ALCA_PFIS_API,100,33689,100,33689,1,12,1
AQ4CAS002.TBAQ4002_CADA_ALCA_PFIS_TELA,AQ4CAS002,TBAQ4002_CADA_ALCA_PFIS_TELA,100,35900,100,35900,1,12,1
AQ4CAS002.TBAQ4003_CADA_ALCA_PJUR_API,AQ4CAS002,TBAQ4003_CADA_ALCA_PJUR_API,100,33790,100,33790,1,12,1
AQ4CAS002.TBAQ4004_CADA_ALCA_PJUR_TELA,AQ4CAS002,TBAQ4004_CADA_ALCA_PJUR_TELA,100,36500,100,36500,1,11,1
AQ4CAS002.TBAQ4005_DECS_KYC_CNPJ,AQ4CAS002,TBAQ4005_DECS_KYC_CNPJ,100,71292,100,71292,1,6,2
AQ4CAS002.TBAQ4006_DECS_KYC_CPF,AQ4CAS002,TBAQ4006_DECS_KYC_CPF,100,71095,100,71095,1,6,2
AQ4CAS002.TBAQ4007_DECS_KYC_ESGR,AQ4CAS002,TBAQ4007_DECS_KYC_ESGR,100,72183,100,72183,1,6,2
AQ4CAS002.TBAQ4008_HIST_DECS_KYC_CNPJ,AQ4CAS002,TBAQ4008_HIST_DECS_KYC_CNPJ,100,95301,100,95301,1,5,2
AQ4CAS002.TBAQ4009_HIST_DECS_KYC_CPF,AQ4CAS002,TBAQ4009_HIST_DECS_KYC_CPF,100,95087,100,95087,1,5,2
AQ4CAS002.TBAQ4010_HIST_DECS_KYC_ESGR,AQ4CAS002,TBAQ4010_HIST_DECS_KYC_ESGR,100,88297,100,88297,1,5,2
AQ4CAS002.TBAQ4011_RGTO_CSLT_KYC_CNPJ,AQ4CAS002,TBAQ4011_RGTO_CSLT_KYC_CNPJ,100,36023,100,36023,1,12,1
AQ4CAS002.TBAQ4012_RGTO_CSLT_KYC_CPF,AQ4CAS002,TBAQ4012_RGTO_CSLT_KYC_CPF,100,35819,100,35819,1,12,1
AQ4CAS002.TBAQ4014_DECS_KYC_CNPJ_API,AQ4CAS002,TBAQ4014_DECS_KYC_CNPJ_API,100,37486,100,37486,1,11,1
AQ4CAS002.TBAQ4015_DECS_KYC_CPF_API,AQ4CAS002,TBAQ4015_DECS_KYC_CPF_API,100,37288,100,37288,1,11,1
AQ4CAS002.TBAQ4017_CADA_EVEN_ALCA_PJUR,AQ4CAS002,TBAQ4017_CADA_EVEN_ALCA_PJUR,100,59600,100,59600,1,7,2
AQ4CAS002.TBAQ4018_RGTO_EVEN_ALCA_PFIS,AQ4CAS002,TBAQ4018_RGTO_EVEN_ALCA_PFIS,100,59000,100,59000,1,7,2
AQ4CAS002.TBAQ4024_RENO_KYC_CNPJ_API,AQ4CAS002,TBAQ4024_RENO_KYC_CNPJ_API,100,42206,100,42206,1,10,1
