objtype,keyspace,name,size,WRUPerRec,rowsPerWRU,rowsPerRRU,rowsSizeWarning,columns
KEYSPACE,GT,null,,,,,,
TABLE,GT,GTDTOB3,993,1,1,4,true,54
KEYSPACE,OBK_DG,null,,,,,,
TABLE,OBK_DG,OBK_DE_PARA,100,1,10,40,,4
KEYSPACE,OBK_BG,null,,,,,,
TABLE,OBK_BG,ACCOUNTS_BALANCES_OLIMITS_2,25,1,40,160,,1
TABLE,OBK_BG,ACCOUNTS_BALANCES_OLIMITS_FAIL,108,1,9,37,,5
TABLE,OBK_BG,ST_BGDT203,79,1,12,50,,4
TABLE,OBK_BG,OBK_ACCOUNTS_FAIL,158,1,6,25,,7
TABLE,OBK_BG,ACCOUNTS_TRANSACTIONS_V2,241,1,4,16,,12
TABLE,OBK_BG,LOAN_PAYMENTS,370.125,1,2,10,,20
TABLE,OBK_BG,UNARRANGED_SCHEDULED_INSTALMENTS,274,1,3,14,,16
TABLE,OBK_BG,LOAN_CONTRACTS_V2,857,1,1,4,true,41
TABLE,OBK_BG,OBK_ACCOUNTS,358,1,2,11,,15
INDEX,ACCOUNTS_BY_CUSTOMERID,null,,,,,,
MATERIALIZED VIEW,OBK_BG,ACCOUNTS_BY_CUSTOMERID_INDEX,,,,,,
TABLE,OBK_BG,UNARRANGED_PAYMENTS,370.125,1,2,10,,20
TABLE,OBK_BG,LOAN_CONTRACTS,986,1,1,4,true,47
TABLE,OBK_BG,UNARRANGED_CONTRACTS,961,1,1,4,true,46
TABLE,OBK_BG,ACCOUNTS_BALANCES_OLIMITS_ERROR_V2,58,1,17,68,,3
TABLE,OBK_BG,ACCOUNTS_TRANSACTIONS,341,1,2,11,,16
TABLE,OBK_BG,OBK_ACCOUNTS_V2,358,1,2,11,,15
INDEX,ACCOUNTS_BY_CUSTOMERID_V2,null,,,,,,
MATERIALIZED VIEW,OBK_BG,ACCOUNTS_BY_CUSTOMERID_V2_INDEX,,,,,,
TABLE,OBK_BG,LOAN_PAYMENTS_V2,345.125,1,2,11,,19
TABLE,OBK_BG,UNARRANGED_PAYMENTS_V2,345.125,1,2,11,,19
TABLE,OBK_BG,OBK_ACCOUNTS_FAIL_V2,158,1,6,25,,7
TABLE,OBK_BG,DE_PARA,100,1,10,40,,4
TABLE,OBK_BG,ACCOUNTS_BALANCES_OLIMITS_FAIL_2,58,1,17,68,,3
TABLE,OBK_BG,UNARRANGED_CONTRACTS_V2,961,1,1,4,true,46
TABLE,OBK_BG,ACCOUNTS_BALANCES_OLIMITS_CONTROL,58,1,17,68,,3
TABLE,OBK_BG,ACCOUNTS_BALANCES_OLIMITS_CONTROL_2,58,1,17,68,,3
TABLE,OBK_BG,LOAN_SCHEDULED_INSTALMENTS_V2,274,1,3,14,,16
TABLE,OBK_BG,ACCOUNTS_BALANCES_OLIMITS_CONTROL_V2,58,1,17,68,,3
TABLE,OBK_BG,ACCOUNTS_BALANCES_OLIMITS_ERROR,58,1,17,68,,3
TABLE,OBK_BG,LOAN_SCHEDULED_INSTALMENTS,274,1,3,14,,16
TABLE,OBK_BG,BRAND_INFO,25,1,40,160,,1
TABLE,OBK_BG,ACCOUNTS_BALANCES_OLIMITS_V2,25,1,40,160,,1
TABLE,OBK_BG,ACCOUNTS_BALANCES_OLIMITS,25,1,40,160,,1
TABLE,OBK_BG,UNARRANGED_SCHEDULED_INSTALMENTS_V2,274,1,3,14,,16
KEYSPACE,BCL_EXTRATO,null,,,,,,
TABLE,BCL_EXTRATO,BGDTHDP,441,1,2,9,,20
TABLE,BCL_EXTRATO,BGDTPEN,1010,2,,3,true,52
